drop_id,pisco_code,MaxN,spp_drop_biomass_mean_kg,spp_drop_biomass_total_kg,pisco_code_metric
ANA_001,SPUL,11,0,0,bm_SPUL
ANA_001,SPUL,5,0,0,bm_SPUL
ANA_001,SPUL,3,0,0,bm_SPUL
ANA_001,SPUL,1,0,0,bm_SPUL
ANA_001,SPUL,11,0,0,bm_SPUL
ANA_001,SPUL,5,0,0,bm_SPUL
ANA_001,SPUL,3,0,0,bm_SPUL
ANA_001,SPUL,1,0,0,bm_SPUL
ANA_001,SPUL,11,0,0,bm_SPUL
ANA_001,SPUL,5,0,0,bm_SPUL
ANA_001,SPUL,3,0,0,bm_SPUL
ANA_001,SPUL,1,0,0,bm_SPUL
ANA_001,SPUL,11,0,0,bm_SPUL
ANA_001,SPUL,5,0,0,bm_SPUL
ANA_001,SPUL,3,0,0,bm_SPUL
ANA_001,SPUL,1,0,0,bm_SPUL
ANA_001,SPUL,11,0,0,bm_SPUL
ANA_001,SPUL,5,0,0,bm_SPUL
ANA_001,SPUL,3,0,0,bm_SPUL
ANA_001,SPUL,1,0,0,bm_SPUL
ANA_001,SPUL,11,0,0,bm_SPUL
ANA_002,SPUL,37,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,37,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,37,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,37,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,37,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,37,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,37,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,37,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,37,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,37,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,37,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,37,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
ANA_002,SPUL,1,NA,NA,bm_SPUL
